Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,Marital_Status,Education
38360,1,0,26,36,2,42,20,21,10,121,2,2,1,4,3,0,0,0,0,0,0,0,28,2553,Married,Graduation
84618,0,0,96,684,100,801,21,66,0,1672,1,6,9,10,2,0,0,1,0,0,0,0,52,2378,Married,PhD
10979,0,0,34,8,4,10,2,2,4,26,2,3,0,3,5,0,0,0,0,0,0,0,28,2197,Divorced,Master
38620,0,0,56,112,17,44,34,22,89,229,1,2,5,3,3,0,0,0,0,0,0,0,54,2573,Together,Master
40548,0,1,31,110,0,5,2,0,3,117,2,2,1,4,5,0,1,0,0,0,0,0,47,2786,Together,Graduation
46610,0,2,8,96,12,96,33,22,43,259,6,4,1,6,6,0,0,0,0,0,0,1,65,2767,Divorced,PhD
68657,0,0,4,482,34,471,119,68,22,1174,1,3,5,9,7,0,0,0,0,0,0,0,71,2653,Married,Master
49389,1,1,55,40,0,19,2,1,3,62,1,2,0,3,7,0,0,0,0,0,0,0,66,2463,Single,Master
67353,0,1,37,702,17,151,0,8,35,878,5,5,6,12,2,0,0,0,0,0,0,0,47,2339,Married,PhD
23718,1,0,76,6,3,14,15,7,36,45,3,3,1,2,7,0,0,0,0,0,0,0,41,2459,Married,2n cycle
42429,0,1,99,55,0,6,2,0,4,63,2,1,1,3,5,0,0,0,0,0,0,0,44,2297,Widow,Graduation
48948,0,0,53,437,8,206,160,49,42,860,2,7,10,5,6,1,0,0,0,0,0,1,74,2672,Divorced,PhD
80011,0,1,3,421,76,536,82,178,102,1293,2,8,6,5,4,0,0,0,0,0,0,0,37,2585,Married,Graduation
20559,1,0,88,13,1,29,3,0,7,46,2,2,0,3,8,0,0,0,0,0,0,0,32,2633,Married,Master
21994,0,1,4,9,0,6,3,1,3,19,1,0,0,3,5,0,0,0,0,0,0,0,60,2711,Together,Graduation
7500,1,0,19,3,1,10,3,2,12,19,3,2,0,3,5,0,0,0,0,0,0,0,42,2429,Married,Master
79941,0,0,72,123,164,266,227,30,174,810,1,2,4,9,1,0,0,0,0,0,0,0,41,2160,Single,Graduation
7500,0,0,24,3,18,14,15,22,50,72,3,3,1,3,9,0,0,0,0,0,0,1,21,2756,Married,2n cycle
41728,1,0,92,13,6,15,3,5,13,42,1,2,0,2,10,0,0,0,0,0,0,0,49,2560,Together,Graduation
72550,1,1,39,826,50,317,50,38,38,1281,9,5,2,12,8,0,0,0,0,0,0,0,63,2757,Married,PhD
65486,0,1,29,245,19,125,37,67,14,493,1,4,2,10,2,0,0,0,0,0,0,0,60,2207,Widow,Graduation
79143,0,0,2,650,37,780,27,167,32,1661,1,6,9,13,3,0,0,0,0,0,0,0,53,2846,Married,Master
35790,1,0,54,12,6,20,30,1,3,69,2,2,0,3,7,0,0,0,0,0,0,0,40,2702,Single,Graduation
82582,0,0,54,510,120,550,156,40,241,1376,1,4,9,7,1,1,0,0,1,0,0,1,40,2181,Divorced,Graduation
66373,1,1,57,328,9,124,12,24,109,497,7,4,2,10,3,0,0,0,0,0,0,0,39,2541,Married,Graduation
82384,0,0,55,984,51,432,180,120,190,1767,1,3,10,13,1,0,0,1,0,0,0,1,62,2746,Together,Master
70287,0,0,30,295,35,482,121,120,40,1053,1,5,5,10,3,0,0,0,0,0,0,1,51,2612,Divorced,Graduation
27938,1,0,31,13,0,8,2,1,5,24,1,1,0,4,3,0,0,0,0,0,0,0,29,2221,Single,Graduation
55954,0,1,63,447,0,28,0,0,43,475,3,8,2,6,7,0,0,0,0,0,0,0,49,2277,Married,PhD
75777,0,0,12,712,26,538,69,13,80,1358,1,3,6,11,1,0,1,1,0,0,0,1,35,2519,Single,Master
66653,1,1,18,452,18,102,16,18,6,606,4,4,2,12,3,0,0,0,0,0,0,0,42,2819,Together,Graduation
61823,0,1,26,523,7,134,37,14,169,715,4,8,2,10,7,0,0,0,0,0,0,0,65,2655,Single,Graduation
67680,0,1,8,546,0,48,0,6,6,600,1,7,3,8,5,0,0,0,0,0,0,0,66,2542,Widow,PhD
70666,0,0,29,398,40,367,119,122,30,1046,1,7,4,4,4,0,0,0,0,0,0,0,69,2364,Together,Graduation
25721,1,0,75,1,3,6,3,6,15,19,1,1,1,2,7,0,0,0,0,0,0,1,46,2563,Married,Graduation
32474,1,1,0,10,0,1,0,0,0,11,1,1,0,2,7,0,0,0,0,0,0,0,50,2208,Together,Graduation
88194,0,1,19,688,14,309,201,24,38,1236,1,11,10,10,5,1,0,0,1,0,0,1,38,2261,Single,2n cycle
69096,0,1,4,247,49,159,7,82,109,544,1,5,2,10,4,0,0,0,0,0,0,0,59,2434,Together,Graduation
74854,1,2,90,856,59,487,58,29,73,1489,7,2,5,5,5,0,0,0,0,0,0,0,47,2606,Together,Graduation
66991,0,0,1,496,36,460,189,60,12,1241,3,4,8,6,3,0,0,0,0,0,0,0,63,2815,Married,Master
65031,0,1,29,258,107,291,84,37,86,777,4,10,3,13,7,0,0,0,0,0,0,0,58,2628,Married,Graduation
60631,1,1,88,565,6,65,0,6,19,642,5,9,2,8,7,0,1,0,0,0,0,0,42,2609,Married,PhD
28332,0,0,58,14,10,13,4,15,9,56,1,2,1,4,2,0,0,0,0,0,0,0,65,2219,Married,Graduation
40246,1,0,68,2,1,6,2,1,1,12,1,1,0,2,6,0,0,0,0,0,0,0,40,2716,Divorced,Graduation
75251,0,0,34,721,111,925,97,18,18,1872,1,7,6,5,5,0,0,0,0,0,0,1,45,2830,Married,Master
75825,0,0,40,1032,105,779,137,105,51,2158,0,5,8,9,4,1,0,0,0,0,0,1,41,2784,Single,Graduation
26326,0,0,12,1,0,5,0,3,9,9,1,0,0,3,3,0,0,0,0,0,1,0,41,2457,Together,2n cycle
56046,0,0,9,577,0,64,0,0,51,641,2,10,1,8,8,1,0,0,0,0,0,1,52,2702,Together,Graduation
29760,1,0,87,64,4,68,7,5,17,148,4,3,1,4,8,0,0,0,0,0,0,0,32,2828,Single,Graduation
26304,1,0,5,4,1,5,2,0,4,12,1,1,0,2,7,0,0,0,0,0,0,0,48,2530,Married,Graduation
23559,1,0,87,25,5,19,7,0,23,56,3,3,0,3,7,0,0,0,0,0,0,0,44,2520,Married,2n cycle
38620,0,0,56,112,17,44,34,22,89,229,1,2,5,3,3,0,0,0,0,0,0,0,54,2573,Together,Master
81361,0,0,18,163,23,424,27,65,76,702,1,3,10,13,1,0,0,0,0,0,0,0,30,2283,Divorced,Graduation
29440,1,1,95,17,8,14,10,4,3,53,2,1,0,4,7,0,0,0,0,0,0,0,57,2481,Married,Graduation
36138,1,1,48,130,0,16,0,0,5,146,5,3,1,4,7,0,1,0,0,0,0,0,47,2507,Married,Master
50388,0,1,3,292,6,37,0,3,34,338,4,6,1,6,7,0,1,0,1,0,0,1,60,2191,Single,Graduation
79593,0,0,70,350,60,568,110,133,145,1221,1,5,6,7,2,0,0,1,0,0,0,0,44,2207,Married,Graduation
54178,0,1,79,135,9,39,4,0,7,187,1,2,2,5,2,0,0,0,0,0,0,0,50,2318,Together,Graduation
42394,1,0,69,15,2,10,0,1,4,28,1,1,0,3,7,0,0,0,0,0,0,0,45,2257,Single,Master
23626,1,0,84,27,2,14,0,0,0,43,3,3,1,3,5,0,0,0,0,0,0,0,47,2195,Married,PhD
30096,1,0,30,5,3,11,12,5,9,36,1,2,0,3,6,0,0,0,0,0,0,0,34,2197,Married,Graduation
47916,0,1,72,505,0,26,0,0,75,531,5,7,4,6,6,0,1,0,0,0,0,0,57,2743,Widow,Graduation
51813,1,1,37,51,2,7,0,1,2,61,2,2,0,3,7,0,0,0,0,0,0,0,45,2603,Divorced,Graduation
78497,0,0,44,207,26,447,75,0,223,755,1,5,7,12,2,0,0,0,1,0,0,0,66,2369,Married,2n cycle
50150,0,0,32,135,46,92,65,61,11,399,2,5,2,7,5,0,0,0,0,0,0,0,34,2533,Married,PhD
47823,0,1,0,53,1,5,2,1,10,62,2,2,0,3,8,0,0,0,0,0,0,0,57,2500,Single,2n cycle
34554,0,1,43,41,1,6,2,0,5,50,2,2,0,3,6,0,0,0,0,0,0,0,58,2250,Single,PhD
85693,0,1,59,386,172,183,185,132,111,1058,2,9,5,11,5,0,0,0,0,0,0,0,38,2594,Together,Graduation
65846,0,0,68,562,81,276,80,40,81,1039,1,6,3,6,4,0,0,0,0,0,0,0,72,2567,Married,PhD
87195,0,0,35,217,76,690,50,26,38,1059,1,3,11,5,1,0,0,0,0,0,0,1,58,2211,Married,Graduation
24594,1,0,94,1,3,6,10,0,9,20,1,1,0,3,5,0,0,0,0,0,0,0,38,2360,Together,Basic
49096,1,1,15,144,1,32,2,1,7,180,4,4,1,4,7,0,0,0,0,0,0,0,53,2437,Married,Graduation
52413,0,2,56,295,106,271,75,98,65,845,4,6,4,12,6,0,0,0,0,0,0,0,48,2671,Married,Graduation
38557,1,0,17,76,3,31,4,4,27,118,2,3,1,3,7,0,0,0,0,0,0,0,39,2716,Single,Graduation
89058,0,0,18,454,194,106,31,22,43,807,1,5,4,4,2,0,0,0,0,0,0,0,57,2728,Married,Master
77298,0,1,46,425,115,292,23,35,79,890,1,6,6,11,3,0,0,0,0,0,0,0,38,2398,Together,Graduation
68126,0,0,40,1332,17,311,23,51,86,1734,1,7,4,5,9,0,1,0,0,0,0,1,26,2755,Single,PhD
57288,0,1,27,527,0,21,0,0,60,548,3,8,1,8,6,0,1,0,0,0,0,0,54,2163,Together,Master
86037,0,0,95,490,44,125,29,20,22,708,1,6,7,11,3,0,1,1,0,0,0,1,26,2702,Single,Graduation
43974,1,0,19,378,0,101,0,0,72,479,5,6,4,6,7,0,0,0,0,0,0,0,37,2723,Married,PhD
50785,1,1,27,64,1,21,0,1,27,87,2,2,1,3,6,0,0,0,0,0,0,0,55,2451,Single,Graduation
90765,0,0,25,547,99,812,151,82,33,1691,0,4,6,5,1,0,0,1,1,0,0,0,47,2315,Married,Graduation
36550,1,0,74,47,90,94,123,103,120,457,5,9,1,5,9,0,0,0,0,0,0,0,39,2654,Married,2n cycle
30753,1,1,85,12,5,25,0,9,30,51,2,1,1,3,5,0,0,0,0,0,0,0,50,2512,Together,2n cycle
21918,1,0,37,1,6,7,11,5,3,30,2,2,0,3,6,0,0,0,0,0,0,0,48,2386,Together,Graduation
56129,0,1,65,320,48,133,39,72,48,612,4,6,2,10,4,0,0,0,0,0,0,0,64,2533,Together,Master
32557,1,0,13,34,3,29,0,4,10,70,3,2,1,3,5,0,0,0,0,0,0,1,50,2284,Single,Master
19510,2,0,63,9,0,7,3,4,7,23,2,1,0,3,7,0,0,0,0,0,0,0,32,2457,Married,Master
30992,1,0,83,17,0,14,7,3,2,41,1,1,0,3,7,0,0,0,0,0,0,0,41,2592,Divorced,Graduation
101970,0,0,69,722,27,102,44,72,168,967,0,6,8,13,2,0,1,1,1,0,0,1,34,2633,Single,Graduation
71488,0,0,87,162,33,124,40,28,172,387,2,3,4,7,1,0,0,0,0,0,0,0,52,2655,Together,2n cycle
79607,0,0,37,450,133,951,173,0,216,1707,1,3,6,6,1,0,0,0,0,0,0,1,33,2593,Single,Graduation
54348,1,1,51,70,0,16,0,0,4,86,2,2,0,4,6,0,0,0,0,0,0,0,64,2180,Married,Master
77376,1,1,72,492,19,110,16,12,12,649,4,6,3,10,4,0,0,0,0,0,0,0,61,2209,Together,PhD
62998,0,1,10,120,58,73,65,89,58,405,5,5,4,5,5,0,0,0,0,0,0,0,65,2431,Married,Graduation
61331,1,1,42,534,5,47,0,5,41,591,5,11,1,6,8,0,0,0,0,0,0,0,59,2635,Single,Master
73448,0,0,10,236,106,189,23,41,130,595,1,7,2,9,4,0,0,0,0,0,0,0,48,2298,Married,Graduation
41551,1,1,51,220,0,33,3,0,23,256,5,5,1,5,8,0,0,0,0,0,0,0,53,2478,Married,PhD
62981,0,0,21,796,14,590,38,44,0,1482,1,4,5,13,3,0,1,0,0,0,0,0,50,2628,Together,PhD
9548,1,0,31,0,1,3,10,6,9,20,2,1,0,3,8,0,0,0,0,0,0,0,41,2849,Divorced,Basic
33762,2,1,61,53,1,34,2,0,16,90,3,2,2,2,8,0,0,0,0,0,0,0,58,2516,Married,PhD
35860,1,1,37,15,0,8,4,2,20,29,2,1,1,2,5,1,0,0,0,0,0,1,44,2200,Single,PhD
36921,1,1,74,17,1,12,3,1,4,34,2,2,0,3,7,0,0,0,0,0,0,0,52,2495,Divorced,PhD
92859,0,0,46,962,61,921,52,61,20,2057,1,5,4,12,2,0,0,0,0,0,0,0,25,2777,Single,Master
65104,0,1,4,738,0,232,13,20,50,1003,2,3,5,7,7,0,0,0,0,0,0,1,41,2386,Together,Master
86111,0,0,73,399,28,756,36,40,126,1259,1,5,7,10,2,0,0,0,0,0,0,0,55,2595,Married,Graduation
68352,0,1,47,614,16,132,43,33,33,838,3,8,5,9,6,0,0,0,0,0,0,0,43,2464,Single,PhD
41883,1,0,13,32,34,41,73,16,116,196,3,4,2,3,7,0,0,0,0,0,0,0,29,2626,Together,Graduation
59809,0,2,36,598,16,141,32,41,49,828,3,3,3,6,8,0,0,0,0,0,0,0,41,2778,Married,Graduation
23957,1,0,47,2,1,18,20,11,16,52,1,2,0,3,6,0,0,0,0,0,0,1,42,2768,Married,Graduation
38547,1,0,49,6,1,10,0,1,4,18,1,1,0,2,8,0,0,0,0,0,1,0,36,2464,Together,Graduation
35688,2,1,94,73,3,90,12,1,32,179,7,4,1,4,8,0,0,0,0,0,0,0,44,2835,Married,2n cycle
49605,0,0,65,42,16,29,12,20,8,119,1,2,1,4,3,0,0,0,0,0,0,0,51,2167,Married,Master
59354,0,2,59,295,21,78,39,13,13,446,1,4,4,7,3,0,0,0,0,0,0,0,64,2225,Married,Master
65747,0,1,96,346,17,48,23,13,13,447,4,8,1,6,6,0,1,0,0,0,0,0,48,2273,Married,Graduation
46344,0,1,28,233,20,57,8,20,91,338,4,7,1,5,7,0,0,0,0,0,0,0,45,2721,Together,2n cycle
34176,1,0,12,5,7,24,19,14,20,69,4,3,0,4,6,0,0,0,0,0,0,0,29,2207,Single,Graduation
61010,0,1,57,888,0,57,0,0,76,945,2,8,5,11,5,0,0,0,0,0,0,0,65,2787,Together,PhD
69372,0,0,10,997,26,269,34,13,42,1339,1,10,4,6,4,0,1,1,0,0,0,1,68,2654,Together,Graduation
49967,0,1,4,212,6,69,4,12,3,303,3,6,1,5,7,0,0,0,0,0,0,0,59,2515,Single,Graduation
60199,1,2,49,8,1,7,2,0,0,18,1,0,0,3,4,0,0,0,0,0,0,0,39,2449,Single,Graduation
55375,0,1,3,42,11,57,10,28,14,148,1,1,1,6,2,0,0,0,0,0,0,0,40,2414,Together,Graduation
80317,0,0,64,536,11,387,149,91,57,1174,1,3,4,10,1,0,0,0,0,0,0,0,62,2472,Single,Graduation
30523,2,1,0,5,0,3,0,0,5,8,1,1,0,2,7,0,0,0,0,0,0,0,59,2522,Single,Master
70356,0,0,20,1349,16,249,43,16,33,1673,2,10,6,9,6,0,0,0,0,0,0,0,72,2760,Married,PhD
23228,1,0,91,53,3,49,7,4,5,116,4,3,0,4,8,0,0,0,0,0,0,0,33,2334,Married,Graduation
74165,0,0,9,1001,12,240,16,12,12,1281,1,5,4,10,2,0,0,0,0,0,0,0,42,2583,Divorced,PhD
43482,2,1,83,18,1,32,6,3,28,60,3,2,0,4,6,0,0,0,0,0,0,0,51,2387,Together,Graduation
62551,0,0,27,125,16,98,134,21,27,394,1,6,7,4,3,1,0,0,0,0,0,0,64,2382,Divorced,Graduation
52332,0,0,63,212,5,33,7,0,2,257,1,3,2,6,4,0,1,0,0,0,0,0,58,2464,Divorced,Graduation
66951,0,0,46,277,162,305,173,76,124,993,1,3,4,7,1,0,0,0,0,0,0,0,29,2398,Single,Graduation
26091,1,1,84,15,10,19,8,17,20,69,3,2,1,3,5,0,0,0,0,0,0,0,60,2283,Together,Graduation
33456,1,1,58,7,3,10,8,1,7,29,2,1,0,3,7,0,0,0,0,0,0,0,52,2228,Together,Graduation
28718,1,0,78,12,4,6,11,8,16,41,2,2,0,3,8,0,0,0,0,0,0,0,35,2510,Married,Graduation
50447,2,0,4,85,7,24,2,3,27,121,1,3,1,3,6,0,0,0,0,0,0,0,47,2228,Married,Graduation
53537,1,1,17,81,0,6,0,0,6,87,2,2,1,3,5,0,0,0,0,0,0,0,58,2309,Together,PhD
52074,0,1,77,59,0,12,0,0,48,71,1,2,2,2,4,1,0,0,0,0,0,0,50,2245,Single,Graduation
80427,0,1,56,1149,71,449,69,71,26,1809,1,11,8,8,5,0,0,0,0,0,0,0,42,2814,Married,PhD
83837,0,0,79,847,66,119,86,89,111,1207,1,9,10,5,4,0,1,0,1,0,0,1,69,2719,Married,PhD
38853,1,1,90,29,0,14,0,0,2,43,2,2,0,3,7,0,0,0,0,0,0,0,47,2196,Married,PhD
38285,2,1,96,2,0,5,2,0,1,9,1,0,0,3,2,0,0,0,0,0,0,0,58,2164,Together,Graduation
78497,0,0,44,207,26,447,75,0,223,755,1,5,7,12,2,0,0,0,1,0,0,0,66,2369,Married,2n cycle
51650,0,1,81,152,3,22,2,5,7,184,1,4,1,4,5,0,0,0,0,0,0,0,41,2208,Married,PhD
16248,1,0,77,12,11,10,3,12,9,48,3,2,1,3,6,0,0,0,0,0,0,0,29,2209,Married,2n cycle
66835,0,0,21,620,26,195,34,17,141,892,1,6,4,13,2,0,0,0,0,0,0,0,71,2433,Married,Master
30477,1,0,16,47,1,6,0,0,12,54,1,1,1,3,6,0,0,0,0,0,0,0,33,2317,Married,Master
28249,0,0,80,1,9,7,2,14,10,33,1,2,0,3,6,0,0,0,0,0,0,0,56,2173,Married,Basic
25271,1,0,45,10,1,18,10,4,7,43,1,1,1,2,9,0,0,0,0,0,0,0,34,2730,Married,Graduation
32303,0,1,63,35,0,2,0,0,2,37,2,1,0,4,5,0,0,0,0,0,0,0,47,2272,Single,PhD
61286,0,1,34,356,0,107,19,9,117,491,2,7,1,8,5,0,0,0,0,0,0,0,51,2490,Married,Graduation
74068,0,0,14,783,30,537,140,76,15,1566,1,4,10,9,2,0,0,0,0,0,0,0,41,2626,Married,Graduation
45759,1,1,13,42,1,18,3,0,4,64,2,2,0,3,7,0,0,0,0,0,0,0,53,2650,Married,PhD
24882,1,0,52,1,4,10,29,0,36,44,1,1,1,2,6,1,0,0,0,0,0,0,39,2817,Together,Basic
66973,0,0,98,466,22,432,147,113,102,1180,1,8,7,12,3,0,0,0,0,0,0,0,28,2567,Together,PhD
38872,1,0,93,23,3,21,3,19,22,69,2,3,0,3,8,0,0,0,0,0,0,0,29,2554,Married,Graduation
51148,1,1,38,235,6,45,8,9,12,303,4,5,1,6,6,0,0,0,0,0,0,0,44,2655,Married,Graduation
31353,1,1,24,10,0,10,3,1,7,24,2,1,1,2,8,0,0,0,0,0,0,0,40,2341,Married,Graduation
69661,0,0,80,656,16,106,32,16,8,826,1,7,3,12,3,0,0,0,0,0,0,0,37,2206,Married,Master
80067,0,0,82,519,17,813,27,173,51,1549,1,4,6,6,2,0,0,1,0,0,0,0,63,2442,Married,Graduation
86718,0,0,20,344,189,482,50,33,172,1098,1,5,6,5,2,0,0,0,0,0,0,0,63,2687,Married,Graduation
46854,1,1,81,96,1,79,7,1,79,184,6,5,1,3,8,1,0,0,0,0,0,1,44,2249,Single,PhD
69142,0,1,50,448,4,34,6,4,39,496,3,8,1,7,5,0,1,0,0,0,0,0,65,2159,Divorced,Graduation
75922,0,0,60,265,138,553,224,23,92,1203,1,4,4,9,1,0,0,0,0,0,0,0,49,2361,Single,Graduation
63693,0,1,63,587,43,337,42,87,54,1096,3,11,6,9,6,0,0,0,0,0,0,0,39,2417,Divorced,Graduation
102160,0,0,54,763,29,138,76,176,58,1182,0,7,9,10,4,0,1,1,1,0,0,1,40,2763,Together,PhD
40637,1,1,72,22,0,13,0,0,3,35,2,1,0,3,7,0,0,0,0,0,0,0,52,2506,Single,PhD
18890,0,0,5,6,4,1,7,2,15,20,1,0,1,2,6,1,0,0,0,0,0,1,33,2755,Single,Master
29604,1,0,88,7,6,13,7,6,14,39,1,1,0,3,9,1,0,0,0,0,0,0,29,2362,Together,Graduation
48721,1,1,50,81,18,113,47,13,21,272,6,4,2,5,6,0,0,0,0,0,0,0,54,2571,Divorced,Master
44794,0,1,99,54,0,7,0,0,4,61,1,2,0,3,6,0,0,0,0,0,0,0,51,2180,Married,Graduation
64497,0,1,17,1170,48,320,42,32,192,1612,5,11,4,9,8,1,0,0,0,0,0,1,63,2816,Divorced,Graduation
46097,0,1,11,72,24,68,65,4,8,233,5,3,1,6,4,0,0,0,0,0,0,0,61,2614,Together,Graduation
77972,0,0,18,613,22,319,33,102,12,1089,1,4,6,9,1,0,0,0,0,0,0,0,63,2262,Together,Graduation
44377,1,1,70,224,0,30,0,0,10,254,8,5,1,5,8,0,0,0,0,0,0,0,49,2791,Married,PhD
46014,1,1,21,410,0,59,19,9,44,497,10,7,1,8,7,0,0,0,0,0,0,0,43,2683,Together,Master
70951,0,0,66,239,10,554,254,87,54,1144,1,3,4,9,1,0,0,0,0,0,0,0,32,2580,Married,Graduation
41443,1,0,79,171,7,171,25,19,89,393,6,8,1,5,8,0,0,0,0,0,0,0,40,2248,Married,Graduation
52195,2,1,2,12,0,4,0,0,1,16,1,1,0,2,8,0,0,0,0,0,0,0,39,2207,Single,2n cycle
83790,0,0,81,1076,16,417,42,48,16,1599,1,8,10,6,3,0,1,1,0,0,0,0,69,2385,Married,Master
44551,0,1,24,182,4,33,0,0,66,219,2,4,1,5,7,0,0,0,0,0,0,0,63,2461,Widow,Master
69508,1,0,48,824,32,162,42,32,43,1092,2,11,4,11,6,0,0,0,0,0,0,0,37,2751,Together,Graduation
45204,1,0,93,30,11,25,29,1,18,96,1,1,1,4,3,0,0,0,0,0,0,0,29,2238,Together,2n cycle
72460,0,0,56,377,10,540,80,30,10,1037,1,3,5,7,1,0,0,0,0,0,0,0,48,2386,Married,Graduation
77622,0,2,3,520,7,154,19,0,14,700,2,6,3,11,3,0,0,0,0,0,0,0,47,2235,Together,PhD
30732,1,0,44,155,1,25,0,1,3,182,4,4,1,4,8,0,0,0,0,0,0,0,37,2699,Married,PhD
63887,0,1,38,897,23,207,15,11,92,1153,5,9,6,12,6,0,0,0,0,0,0,0,55,2818,Divorced,Graduation
42011,1,0,46,131,0,16,2,1,39,150,4,3,1,4,8,0,0,0,0,0,0,0,39,2619,Together,Graduation
51369,0,1,84,297,7,79,0,11,182,394,2,8,2,4,8,0,0,0,0,0,0,0,41,2771,Together,Graduation
51537,0,1,27,787,20,204,0,0,92,1011,3,2,2,11,8,0,0,0,0,0,0,0,65,2726,Divorced,Graduation
79930,0,0,72,792,86,740,67,51,17,1736,1,3,5,8,2,0,0,0,0,0,0,0,45,2849,Married,PhD
34320,1,0,66,4,1,9,3,0,0,17,1,1,0,2,8,0,0,0,0,0,0,0,31,2292,Together,PhD
37070,1,1,30,231,7,137,4,15,39,394,9,5,1,8,7,0,0,0,0,0,0,1,51,2625,Single,Graduation
81975,0,1,2,983,76,184,180,138,27,1561,1,6,3,4,7,0,0,1,0,0,0,0,55,2699,Divorced,2n cycle
38590,1,0,65,3,1,8,4,3,3,19,1,1,0,2,8,0,0,0,0,0,0,0,46,2569,Together,Graduation
15033,0,0,37,0,4,5,6,0,4,15,1,1,0,3,3,0,0,0,0,0,0,0,66,2233,Single,Graduation
62745,0,1,89,562,21,464,28,10,32,1085,3,7,8,11,5,0,0,0,0,0,0,0,52,2622,Married,PhD
22212,1,0,49,5,9,20,6,8,21,48,2,2,0,4,6,0,0,0,0,0,0,0,42,2361,Married,2n cycle
23661,1,0,46,18,0,4,0,0,1,22,1,1,0,3,7,0,0,0,0,0,0,0,35,2366,Together,Master
79761,0,1,32,415,5,124,15,35,11,594,1,5,2,11,3,0,0,0,0,0,0,0,59,2427,Single,PhD
7500,1,0,54,5,3,10,12,7,20,37,4,3,1,3,7,0,0,0,0,0,0,0,44,2344,Single,Graduation
